Plakaty ,,,,,,,,,
Ilość (szt),A4 170g kreda 130/170,A3 170g kreda 130/170,A4 200g kreda 200,A3 200g kreda 200,,,,,
10,47,60,52,64,,,,,
20,55,81,65,86,,,,,
30,69,102,73,111,,,,,
40,83,124,90,135,,,,,
50,95,145,105,155,,,,,
60,108,166,116,177,,,,,
70,120,188,129,199,,,,,
80,130,206,139,219,,,,,
90,141,226,155,240,,,,,
100,150,245,163,259,,,,,
125,180,295,193,315,,,,,
150,205,340,219,355,,,,,
175,233,380,249,410,,,,,
200,250,420,268,456,,,,,
,,,,,,,,,
Ulotki – cyfrowe jednostronne,,,,Ulotki - Cyfrowe dwustronne,,,,,
Ilość (szt),A6 105×148 – cena [zł],A5 148×210 – cena [zł],DL 99×210 – cena [zł],llość,A6 (105x148),A5 (148x210),DL (99x210),,
10,30,35,30,10 szt,"40,00zł","45,00zł","40,00zł",,
20,35,42,35,20 szt,"47,00zł","55,00zł","50,00zł",,
30,40,50,40,30 szt,"49,00zł","60,00zł","55,00zł",,
40,45,59,45,40 szt,"55,00zł","72,00zł","65,00zł",,
50,55,69,55,50 szt,"60,00zł","90,00zł","70,00zł",,
60,61,75,60,60 szt,"65,00zł","99,00zł","78,00zł",,
70,65,82,65,70 szt,"70,00zł","112,00zł","88,00zł",,
80,70,88,70,80 szt,"75,00zł","122,00zł","99,00zł",,
90,75,93,75,90 szt,"90,00zł","130,00zł","109,00zł",,
100,79,95,83,100 szt,"95,00zł","140,00zł","119,00zł",,
150,90,130,100,150 szt,"120,00zł","180,00zł","150,00zł",,
200,110,150,120,200 szt,"140,00zł","220,00zł","179,00zł",,
300,145,210,160,300 szt,"190,00zł","310,00zł","235,00zł",,
400,160,259,199,400 szt,"230,00zł","390,00zł","290,00zł",,
500,190,300,230,500 szt,"270,00zł","460,00zł","350,00zł",,
700,255,410,310,700 szt,"365,00zł","620,00zł","460,00zł",,
1000,320,530,399,1000 szt,"476,00zł","790,00zł","590,00zł",,
,,,,,,,,,
"Wizytówki – druk cyfrowy, kreda mat 350g, folia mat/błysk",,,,,,,,,
1) Format 85×55 mm (bez foliowania / foliowane),,,,,,,,,
Nakład (szt),Cena bez foliowania [zł],Cena foliowane [zł],,,,,,,
50,65,160,,,,,,,
100,75,170,,,,,,,
150,85,180,,,,,,,
200,96,190,,,,,,,
250,110,200,,,,,,,
300,125,210,,,,,,,
400,145,230,,,,,,,
500,170,250,,,,,,,
1000,290,355,,,,,,,
2) Format 90×50 mm (bez foliowania / foliowane),,,,,,,,,
Nakład (szt),Cena bez foliowania [zł],Cena foliowane [zł],,,,,,,
50,70,170,,,,,,,
100,79,180,,,,,,,
150,89,190,,,,,,,
200,99,200,,,,,,,
250,120,210,,,,,,,
300,135,220,,,,,,,
400,155,240,,,,,,,
500,175,260,,,,,,,
1000,300,345,,,,,,,
"Wizytówki – druk cyfrowy SoftTouch, kreda mat 350g",,,,,,,,,
3) SoftTouch – format 85×55 mm (foliowane),,,,,,,,,
Nakład (szt),Cena wariant 1 [zł],Cena wariant 2 [zł],,,,,,,
50,65,170,,,,,,,
100,75,190,,,,,,,
150,85,210,,,,,,,
200,96,220,,,,,,,
250,110,230,,,,,,,
300,125,240,,,,,,,
400,145,260,,,,,,,
500,170,270,,,,,,,
1000,290,380,,,,,,,
4) SoftTouch – format 90×50 mm (foliowane),,,,,,,,,
Nakład (szt),Cena wariant 1 [zł],Cena wariant 2 [zł],,,,,,,
50,70,170,,,,,,,
100,79,190,,,,,,,
150,89,210,,,,,,,
200,99,230,,,,,,,
250,120,240,,,,,,,
300,135,250,,,,,,,
400,155,270,,,,,,,
500,175,290,,,,,,,
1000,300,390,,,,,,,
