,,,,,,,,,,,
,,,,,,,,,,,
,,,,1,21,,,,,,
,,,,,,SOLWENT - PLAKATY,,,,,
,,,,,,,,,,,
,SOLWENT - PLAKATY,,,,,MINIMALKA 1m2! -,,,,,
,,,,,,"jeśli klient potrzebuje mniejszego wydruku, przyjmujemy zlecenie ale i tak płaci za minimalkę.",,,,,
,MINIMALKA 1m2! - 1 wzór,,,,,,,,,,
,"jeśli klient potrzebuje mniejszego wydruku,",,,,,Papier 150g półmat,,,,,
,przyjmujemy zlecenie ale i tak płaci za minimalkę.,,,,,,,,,,
,,,,,,Ilość,cena / m2,,,,
,Papier 200g połysk,,,,,1 - 3 m2,65 zł / m2,,,,
,,,,,,4 - 9 m2,60 zł / m2,,,,
,Ilość,cena / m2,,,,10 - 20 m2,55 zł / m2,,,,
,1-3 m2,70 zł / m2,,,,21 - 40 m2,50 zł / m2,,,,
,4-9 m2,65 zł / m2,,,,41 m2 i więcej,42 zł / m2,,,,
,10-20 m2,59 zł / m2,,,,,,,,,
,21-40 m2,53 zł / m2,,,,Papier 115g matowy,,,,,
,41 m2 i więcej,45 zł / m2,,,,,,,,,
,,,,,,Ilość,cena / m2,,,,
,Papier BLOCKOUT 200g satyna,,,,,1 - 3 m2,45 zł / m2,,,,
,,,,,,4 - 19 m2,40 zł / m2,,,,
,Ilość,cena / m2,,,,20 - m2 i więcej,35 zł / m2,,,,
,1-3 m2,80 zł / m2,,,,,,,,,
,4-9 m2,75 zł / m2,,,,,,,,,
,10-20 m2,70 zł / m2,,,,,,,,,
,21-40 m2,65 zł / m2,,,,,,,,,
,41 m2 i więcej,60 zł / m2,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,VOUCHERY - druk cyfrowy,,,2,,,,,,,
,,,,,,,,,,,
,EXPRESS - najtaniej + 20%,,,,,,,,,,
,,,,,,,,,,,
,Kreda 200-350g,,,,,,,,,,
,,,,,,,,,,,
,Ilość,A4 jednostronne a4,A4 dwustronne a4,,,,,,,,
,1 szt,"20,00zł",25zł,,,,,,,,
,2 szt,"29,00 ZŁ","32,00zł",,,,,,,,
,3 szt,"30,00zł","37,00zł",,,,,,,,
,4 szt,"32,00zł","39,00zł",,,,,,,,
,5 szt,"35,00zł","43,00zł",,,,,,,,
,6 szt,"39,00zł","45,00zł",,,,,,,,
,7 szt,"41,00zł","48,00zł",,,,,,,,
,8 szt,"45,00zł","50,00zł",,,,,,,,
,9 szt,"48,00zł","52,00zł",,,,,,,,
,10 szt,"52,00zł","58,00zł",,,,,,,,
,15 szt,"60,00zł","70,00zł",,,,,,,,
,20 szt,"67,00zł","82,00zł",,,,,,,,
,25 szt,"74,00zł","100,00zł",,,,,,,,
,30 szt,"84,00zł","120,00zł",,,,,,,,
,,,,,,,,,,,
,Papier satynowy + 12% do ceny,,,,,,,,,,
,,,,,,,,,,,
,Inne ilości wycena w KALKULATORZE,,,,,,,,,,
,,,,,,,,,,,
